Date,Value 2
01-Jun-2021,15661
02-Jun-2021,15597
03-Jun-2021,15705
04-Jun-2021,15734
07-Jun-2021,15773
08-Jun-2021,15779
09-Jun-2021,15800
10-Jun-2021,15751
11-Jun-2021,15836
14-Jun-2021,15823
15-Jun-2021,15902
16-Jun-2021,15881
17-Jun-2021,15769
18-Jun-2021,15762
21-Jun-2021,15765
22-Jun-2021,15896
23-Jun-2021,15863
24-Jun-2021,15821
25-Jun-2021,15871
28-Jun-2021,15916
29-Jun-2021,15836
30-Jun-2021,15839
01-Jul-2021,15756
02-Jul-2021,15738
05-Jul-2021,15846
06-Jul-2021,15914
07-Jul-2021,15894
08-Jul-2021,15886
09-Jul-2021,15731
12-Jul-2021,15789
13-Jul-2021,15821
14-Jul-2021,15877
15-Jul-2021,15952
16-Jul-2021,15962
19-Jul-2021,15837
20-Jul-2021,15728
22-Jul-2021,15835
23-Jul-2021,15900
26-Jul-2021,15893
27-Jul-2021,15882
28-Jul-2021,15768
29-Jul-2021,15817
30-Jul-2021,15863
02-Aug-2021,15893
03-Aug-2021,16147
04-Aug-2021,16290
05-Aug-2021,16349
06-Aug-2021,16337
09-Aug-2021,16321
10-Aug-2021,16359
11-Aug-2021,16339
12-Aug-2021,16376
13-Aug-2021,16544
16-Aug-2021,16589
17-Aug-2021,16629
18-Aug-2021,16702
20-Aug-2021,16510
23-Aug-2021,16593
24-Aug-2021,16647
25-Aug-2021,16712
26-Aug-2021,16684
27-Aug-2021,16722
30-Aug-2021,16952
31-Aug-2021,17154
01-Sep-2021,17226
02-Sep-2021,17246
03-Sep-2021,17340
06-Sep-2021,17430
07-Sep-2021,17437
08-Sep-2021,17383
09-Sep-2021,17380
13-Sep-2021,17378
14-Sep-2021,17439
15-Sep-2021,17533
16-Sep-2021,17645
17-Sep-2021,17793
20-Sep-2021,17623
21-Sep-2021,17578
22-Sep-2021,17610
23-Sep-2021,17844
24-Sep-2021,17948
27-Sep-2021,17944
28-Sep-2021,17913
29-Sep-2021,17782
30-Sep-2021,17742
01-Oct-2021,17557
04-Oct-2021,17751
05-Oct-2021,17833
06-Oct-2021,17885
07-Oct-2021,17858
08-Oct-2021,17942
11-Oct-2021,18042
12-Oct-2021,18009
13-Oct-2021,18198
14-Oct-2021,18351
18-Oct-2021,18543
19-Oct-2021,18604
20-Oct-2021,18458
21-Oct-2021,18384
22-Oct-2021,18314
25-Oct-2021,18241
26-Oct-2021,18310
27-Oct-2021,18342
28-Oct-2021,18191
29-Oct-2021,17916
01-Nov-2021,17954
02-Nov-2021,18012
03-Nov-2021,17989
04-Nov-2021,17948
08-Nov-2021,18088
09-Nov-2021,18113
10-Nov-2021,18061
11-Nov-2021,17971
12-Nov-2021,18123
15-Nov-2021,18210
16-Nov-2021,18133
17-Nov-2021,18023
18-Nov-2021,17946
22-Nov-2021,17805
23-Nov-2021,17554
24-Nov-2021,17601
25-Nov-2021,17564
26-Nov-2021,17355
29-Nov-2021,17161
30-Nov-2021,17325
01-Dec-2021,17213
02-Dec-2021,17420
03-Dec-2021,17490
06-Dec-2021,17217
07-Dec-2021,17252
08-Dec-2021,17485
09-Dec-2021,17543
10-Dec-2021,17534
13-Dec-2021,17640
14-Dec-2021,17376
15-Dec-2021,17351
16-Dec-2021,17379
17-Dec-2021,17298
20-Dec-2021,16840
21-Dec-2021,16936
22-Dec-2021,16971
23-Dec-2021,17119
24-Dec-2021,17156
27-Dec-2021,17112
28-Dec-2021,17250
29-Dec-2021,17286
30-Dec-2021,17264
